timestamp,file_pdf,file_output,status,keterangan,n_pages,char_mentah,char_bersih,rasio_char,jumlah_token
2026-06-26 20:46:12,10004_K_PID.SUS_2025.pdf,case_001.txt,TERSIMPAN_OK,"LULUS — 11,834 karakter, rasio 99.4%, 9/9 marker",7,11903,11834,0.9942,1546
2026-06-26 20:46:13,10051_K_PID.SUS_2025.pdf,case_002.txt,TERSIMPAN_OK,"LULUS — 14,323 karakter, rasio 99.5%, 8/9 marker",8,14390,14323,0.9953,1858
2026-06-26 20:46:14,10053_K_PID.SUS_2025.pdf,case_003.txt,TERSIMPAN_OK,"LULUS — 17,093 karakter, rasio 96.7%, 7/9 marker",10,17673,17093,0.9672,2226
2026-06-26 20:46:15,10054_K_PID.SUS_2025.pdf,case_004.txt,TERSIMPAN_OK,"LULUS — 14,925 karakter, rasio 97.0%, 7/9 marker",9,15394,14925,0.9695,1969
2026-06-26 20:46:16,10063_K_PID.SUS_2025.pdf,case_005.txt,TERSIMPAN_OK,"LULUS — 15,172 karakter, rasio 96.6%, 7/9 marker",9,15701,15172,0.9663,1988
2026-06-26 20:46:16,10115_K_PID.SUS_2025.pdf,case_006.txt,TERSIMPAN_OK,"LULUS — 12,422 karakter, rasio 97.0%, 8/9 marker",7,12807,12422,0.9699,1644
2026-06-26 20:46:17,10169_K_PID.SUS_2025.pdf,case_007.txt,TERSIMPAN_OK,"LULUS — 15,386 karakter, rasio 97.0%, 8/9 marker",9,15860,15386,0.9701,2031
2026-06-26 20:46:18,10222_K_PID.SUS_2025.pdf,case_008.txt,TERSIMPAN_OK,"LULUS — 11,579 karakter, rasio 96.8%, 8/9 marker",7,11959,11579,0.9682,1528
2026-06-26 20:46:18,10296_K_PID.SUS_2025.pdf,case_009.txt,TERSIMPAN_OK,"LULUS — 14,566 karakter, rasio 97.2%, 7/9 marker",8,14993,14566,0.9715,1918
2026-06-26 20:46:19,10411_K_PID.SUS_2025.pdf,case_010.txt,TERSIMPAN_OK,"LULUS — 11,813 karakter, rasio 96.7%, 8/9 marker",7,12219,11813,0.9668,1553
2026-06-26 20:46:19,1061_K_PID.SUS_2026.pdf,case_011.txt,TERSIMPAN_OK,"LULUS — 14,510 karakter, rasio 99.5%, 9/9 marker",8,14579,14510,0.9953,1941
2026-06-26 20:46:20,10764_K_PID.SUS_2025.pdf,case_012.txt,TERSIMPAN_OK,"LULUS — 20,318 karakter, rasio 97.2%, 7/9 marker",11,20906,20318,0.9719,2764
2026-06-26 20:46:21,1076_K_PID.SUS_2026.pdf,case_013.txt,TERSIMPAN_OK,"LULUS — 24,602 karakter, rasio 97.1%, 9/9 marker",13,25327,24602,0.9714,3248
2026-06-26 20:46:22,10775_K_PID.SUS_2025.pdf,case_014.txt,TERSIMPAN_OK,"LULUS — 16,852 karakter, rasio 96.8%, 7/9 marker",10,17401,16852,0.9685,2203
2026-06-26 20:46:23,1077_K_PID.SUS_2026.pdf,case_015.txt,TERSIMPAN_OK,"LULUS — 15,966 karakter, rasio 97.1%, 9/9 marker",9,16443,15966,0.971,2063
2026-06-26 20:46:24,10823_K_PID.SUS_2025.pdf,case_016.txt,TERSIMPAN_OK,"LULUS — 21,924 karakter, rasio 97.3%, 7/9 marker",12,22542,21924,0.9726,2855
2026-06-26 20:46:25,10837_K_PID.SUS_2025.pdf,case_017.txt,TERSIMPAN_OK,"LULUS — 16,071 karakter, rasio 97.0%, 7/9 marker",9,16572,16071,0.9698,2121
2026-06-26 20:46:26,10997_K_PID.SUS_2025.pdf,case_018.txt,TERSIMPAN_OK,"LULUS — 12,721 karakter, rasio 96.3%, 7/9 marker",8,13206,12721,0.9633,1649
2026-06-26 20:46:27,11032_K_PID.SUS_2025.pdf,case_019.txt,TERSIMPAN_OK,"LULUS — 16,683 karakter, rasio 97.1%, 9/9 marker",9,17186,16683,0.9707,2228
2026-06-26 20:46:27,11190_K_PID.SUS_2025.pdf,case_020.txt,TERSIMPAN_OK,"LULUS — 13,345 karakter, rasio 97.1%, 8/9 marker",7,13737,13345,0.9715,1771
2026-06-26 20:46:28,11207_K_PID.SUS_2025.pdf,case_021.txt,TERSIMPAN_OK,"LULUS — 12,785 karakter, rasio 96.7%, 7/9 marker",8,13225,12785,0.9667,1704
2026-06-26 20:46:29,11250_K_PID.SUS_2025.pdf,case_022.txt,TERSIMPAN_OK,"LULUS — 20,590 karakter, rasio 97.1%, 9/9 marker",11,21200,20590,0.9712,2758
2026-06-26 20:46:30,11356_K_PID.SUS_2025.pdf,case_023.txt,TERSIMPAN_OK,"LULUS — 13,375 karakter, rasio 96.8%, 9/9 marker",8,13824,13375,0.9675,1755
2026-06-26 20:46:30,11445_K_PID.SUS_2025.pdf,case_024.txt,TERSIMPAN_OK,"LULUS — 17,780 karakter, rasio 97.1%, 9/9 marker",10,18318,17780,0.9706,2372
2026-06-26 20:46:31,1155_K_Pid.Sus_2023.pdf,case_025.txt,TERSIMPAN_OK,"LULUS — 14,245 karakter, rasio 96.5%, 8/9 marker",9,14756,14245,0.9654,1878
2026-06-26 20:46:32,11593_K_PID.SUS_2025.pdf,case_026.txt,TERSIMPAN_OK,"LULUS — 18,016 karakter, rasio 97.1%, 7/9 marker",10,18551,18016,0.9712,2416
2026-06-26 20:46:33,11595_K_PID.SUS_2025.pdf,case_027.txt,TERSIMPAN_OK,"LULUS — 15,639 karakter, rasio 97.0%, 8/9 marker",9,16128,15639,0.9697,2097
2026-06-26 20:46:34,11616_K_PID.SUS_2025.pdf,case_028.txt,TERSIMPAN_OK,"LULUS — 11,606 karakter, rasio 96.8%, 8/9 marker",7,11984,11606,0.9685,1506
2026-06-26 20:46:34,11618_K_PID.SUS_2025.pdf,case_029.txt,TERSIMPAN_OK,"LULUS — 12,045 karakter, rasio 96.7%, 7/9 marker",7,12455,12045,0.9671,1549
2026-06-26 20:46:35,11723_K_PID.SUS_2025.pdf,case_030.txt,TERSIMPAN_OK,"LULUS — 12,806 karakter, rasio 97.4%, 8/9 marker",7,13153,12806,0.9736,1654
2026-06-26 20:46:35,11961_K_PID.SUS_2025.pdf,case_031.txt,TERSIMPAN_OK,"LULUS — 13,741 karakter, rasio 99.5%, 9/9 marker",8,13808,13741,0.9951,1809
2026-06-26 20:46:36,12013_K_PID.SUS_2025.pdf,case_032.txt,TERSIMPAN_OK,"LULUS — 10,721 karakter, rasio 97.2%, 8/9 marker",6,11027,10721,0.9722,1384
